id,regionname,countryname,prodline,lendinginstr,lendinginstrtype,envassesmentcategorycode,supplementprojectflg,productlinetype,projectstatusdisplay,sector1
P165249,East Asia and Pacific,Kingdom of Cambodia;Kingdom of Cambodia,PE,Investment Project Financing,IN,0,Y,L,Active,!$!0
P167201,Africa,Republic of Angola;Republic of Angola,PE,Investment Project Financing,IN,0,Y,L,Active,!$!0
P154525,South Asia,Republic of India;Republic of India,PE,Investment Project Financing,IN,B,N,L,Active,Workforce Development and Vocational Education!$!89!$!EW
P154716,East Asia and Pacific,People's Republic of China;People's Republic of China,PE,Investment Project Financing,IN,B,N,L,Active,!$!0
P163752,Africa,Africa;Africa,PE,Investment Project Financing,IN,A,N,L,Active,!$!0
P165442,Africa,Republic of Zambia;Republic of Zambia,RE,Investment Project Financing,IN,0,Y,L,Active,!$!0
P161317,Africa,Republic of Kenya;Republic of Kenya,PE,Investment Project Financing,IN,B,N,L,Active,!$!0
P165711,Middle East and North Africa,Lebanese Republic;Lebanese Republic,PE,Investment Project Financing,IN,0,Y,L,Active,!$!0
P166159,Latin America and Caribbean,Republic of Panama;Republic of Panama,PE,Development Policy Lending,AD,0,N,L,Active,!$!0
P167043,Middle East and North Africa,Republic of Tunisia;Republic of Tunisia,PE,Program-for-Results,PR,0,Y,L,Active,!$!0
P167330,East Asia and Pacific,Kingdom of Tonga;Kingdom of Tonga,PE,Development Policy Lending,AD,0,N,L,Active,Energy Transmission and Distribution!$!7!$!LT
P159577,South Asia,Islamic Republic of Pakistan;Islamic Republic of Pakistan,PE,Investment Project Financing,IN,A,N,L,Active,!$!0
P159712,South Asia,Islamic Republic of Pakistan;Islamic Republic of Pakistan,PE,Investment Project Financing,IN,B,N,L,Active,Renewable Energy Solar!$!95!$!LU
P162619,South Asia,People's Republic of Bangladesh;People's Republic of Bangladesh,PE,Program-for-Results,PR,0,N,L,Active,!$!0
P163157,Africa,Republic of Niger;Republic of Niger,PE,Investment Project Financing,IN,C,N,L,Active,!$!0
P163782,Africa,Republic of Uganda;Republic of Uganda,PE,Investment Project Financing,IN,B,N,L,Active,!$!0
P164318,Africa,Republic of Madagascar;Republic of Madagascar,PE,Investment Project Financing,IN,0,Y,L,Active,!$!0
P164453,Latin America and Caribbean,Plurinational State of Bolivia;Plurinational State of Bolivia,PE,Investment Project Financing,IN,B,N,L,Active,!$!0
P164882,South Asia,Islamic  Republic of Afghanistan;Islamic  Republic of Afghanistan,PE,Development Policy Lending,AD,0,N,L,Active,Other Industry; Trade and Services!$!33!$!YZ
P158622,East Asia and Pacific,People's Republic of China;People's Republic of China,PE,Investment Project Financing,IN,A,N,L,Active,!$!0
P164277,East Asia and Pacific,Republic of Indonesia;Republic of Indonesia,PE,Program-for-Results,PR,0,N,L,Active,Health!$!93!$!HG
P159692,Middle East and North Africa,Lebanese Republic;Lebanese Republic,PE,Investment Project Financing,IN,B,N,L,Active,Other Public Administration!$!64!$!BZ
P164288,Middle East and North Africa,Kingdom of Morocco;Kingdom of Morocco,PE,Investment Project Financing,IN,0,Y,L,Active,Renewable Energy Solar!$!100!$!LU
P164728,Africa,Africa;Africa,PE,Investment Project Financing,IN,0,Y,L,Active,!$!0
P165558,Middle East and North Africa,Republic of Djibouti;Republic of Djibouti,PE,Investment Project Financing,IN,C,N,L,Active,Other Industry; Trade and Services!$!67!$!YZ
P164175,Africa,Somali Democratic Republic;Somali Democratic Republic,RE,Investment Project Financing,IN,B,N,L,Active,!$!0
P164322,South Asia,Republic of Maldives;Republic of Maldives,PE,Investment Project Financing,IN,0,Y,L,Active,!$!0
P166538,Africa,Republic of Senegal;Republic of Senegal,PE,Investment Project Financing,IN,A,N,L,Active,Other Public Administration!$!100!$!BZ
P156125,East Asia and Pacific,Republic of Indonesia;Republic of Indonesia,PE,Investment Project Financing,IN,B,N,L,Active,!$!0
P158713,East Asia and Pacific,People's Republic of China;People's Republic of China,PE,Investment Project Financing,IN,B,N,L,Active,Water Supply!$!94!$!WC
P158760,East Asia and Pacific,People's Republic of China;People's Republic of China,PE,Investment Project Financing,IN,B,N,L,Active,!$!0
P159870,East Asia and Pacific,People's Republic of China;People's Republic of China,PE,Investment Project Financing,IN,B,N,L,Active,!$!0
P164295,Africa,Central African Republic;Central African Republic,PE,Investment Project Financing,IN,B,N,L,Active,Primary Education!$!49!$!EP
P158119,South Asia,Republic of India;Republic of India,PE,Program-for-Results,PR,0,N,L,Active,Other Water Supply; Sanitation and Waste Management!$!89!$!WZ
P161329,Africa,Western Africa;Western Africa,PE,Investment Project Financing,IN,B,N,L,Active,!$!0
P160796,Africa,Republic of Cabo Verde;Republic of Cabo Verde,PE,Investment Project Financing,IN,C,N,L,Active,!$!0
P163218,Africa,Republic of Cote d'Ivoire;Republic of Cote d'Ivoire,RE,Investment Project Financing,IN,B,N,L,Active,!$!0
P165509,Europe and Central Asia,Montenegro;Montenegro,PE,Investment Project Financing,IN,B,N,L,Active,Public Administration - Energy and Extractives!$!7!$!LP
P166327,Europe and Central Asia,Kyrgyz Republic;Kyrgyz Republic,RE,Investment Project Financing,IN,C,N,L,Active,!$!0
P162850,Middle East and North Africa,West Bank and Gaza;West Bank and Gaza,SF,Investment Project Financing,IN,C,N,L,Active,Central Government (Central Agencies)!$!73!$!BC
P164412,Middle East and North Africa,West Bank and Gaza;West Bank and Gaza,SF,Investment Project Financing,IN,C,N,L,Active,ICT Services!$!9!$!CS
P155859,Africa,Federal Democratic Republic of Ethiopia;Federal Democratic Republic of Ethiopia,RE,Investment Project Financing,IN,C,N,L,Active,!$!0
P162525,Africa,Republic of Ghana;Republic of Ghana,PE,Investment Project Financing,IN,0,Y,L,Active,!$!0
P163490,Latin America and Caribbean,Republic of Haiti;Republic of Haiti,PE,Investment Project Financing,IN,B,N,L,Active,Rural and Inter-Urban Roads!$!91!$!TI
P163575,Africa,Republic of Senegal;Republic of Senegal,PE,Investment Project Financing,IN,B,Y,L,Active,Public Administration - Education!$!7!$!EF
P163954,Africa,Republic of Guinea-Bissau;Republic of Guinea-Bissau,PE,Investment Project Financing,IN,B,N,L,Active,Health!$!59!$!HG
P164093,Latin America and Caribbean,Republic of Haiti;Republic of Haiti,PE,Investment Project Financing,IN,0,Y,L,Active,Central Government (Central Agencies)!$!100!$!BC
P165630,Other,World;World,RE,Investment Project Financing,IN,C,N,L,Active,!$!0
P165943,East Asia and Pacific,Samoa;Samoa,RE,Investment Project Financing,IN,0,Y,L,Active,!$!0
P157599,East Asia and Pacific,Republic of Indonesia;Republic of Indonesia,PE,Investment Project Financing,IN,A,N,L,Active,Other Industry; Trade and Services!$!70!$!YZ
P161590,Africa,Republic of Congo;Republic of Congo,PE,Investment Project Financing,IN,B,N,L,Active,Other Industry; Trade and Services!$!63!$!YZ
P161969,East Asia and Pacific,Federated States of Micronesia;Federated States of Micronesia,PE,Investment Project Financing,IN,B,N,L,Active,Central Government (Central Agencies)!$!9!$!BC
P163131,East Asia and Pacific,Republic of the Marshall Islands;Republic of the Marshall Islands,PE,Investment Project Financing,IN,B,N,L,Active,Central Government (Central Agencies)!$!68!$!BC
P159052,Africa,Republic of Angola;Republic of Angola,PE,Investment Project Financing,IN,B,N,L,Active,!$!0
P160245,Middle East and North Africa,Republic of Tunisia;Republic of Tunisia,PE,Investment Project Financing,IN,B,N,L,Active,!$!0
P161876,Africa,Republic of Rwanda;Republic of Rwanda,PE,Program-for-Results,PR,0,N,L,Active,!$!0
P156972,South Asia,Islamic Republic of Pakistan;Islamic Republic of Pakistan,PE,Program-for-Results,PR,0,N,L,Active,Sub-National Government!$!100!$!BH
P160418,Africa,Republic of Cote d'Ivoire;Republic of Cote d'Ivoire,PE,Investment Project Financing,IN,B,N,L,Active,!$!0
P162117,South Asia,Islamic Republic of Pakistan;Islamic Republic of Pakistan,PE,Investment Project Financing,IN,0,Y,L,Active,!$!0
P162635,Europe and Central Asia,Kyrgyz Republic;Kyrgyz Republic,PE,Investment Project Financing,IN,B,N,L,Active,Other Education!$!60!$!EZ
P163924,South Asia,Islamic Republic of Pakistan;Islamic Republic of Pakistan,PE,Investment Project Financing,IN,B,N,L,Active,!$!0
P165388,South Asia,Islamic Republic of Pakistan;Islamic Republic of Pakistan,PE,Program-for-Results,PR,0,N,L,Active,Other Transportation!$!8!$!TZ
P165402,South Asia,Republic of India;Republic of India,PE,Investment Project Financing,IN,0,Y,L,Active,!$!0
P166469,Europe and Central Asia,Republic of Albania;Republic of Albania,PE,Investment Project Financing,IN,0,Y,L,Active,Renewable Energy Hydro!$!96!$!LH
P161600,Africa,Republic of Burundi;Republic of Burundi,PE,Investment Project Financing,IN,B,N,L,Active,Primary Education!$!85!$!EP
P162316,Latin America and Caribbean,Argentine Republic;Argentine Republic,PE,Investment Project Financing,IN,B,N,L,Active,Public Administration - Agriculture; Fishing & Forestry!$!46!$!AK
P163458,Other,World;World,RE,Investment Project Financing,IN,C,N,L,Active,!$!0
P165588,Other,World;World,RE,Investment Project Financing,IN,C,N,L,Active,!$!0
P164468,East Asia and Pacific,Pacific Islands;Pacific Islands,PE,Investment Project Financing,IN,0,Y,L,Active,Public Administration - Transportation!$!75!$!TF
P162727,Europe and Central Asia,Republic of Turkey;Republic of Turkey,PE,Investment Project Financing,IN,A,N,L,Active,Oil and Gas!$!100!$!LC
P163225,Europe and Central Asia,Republic of Turkey;Republic of Turkey,PE,Investment Project Financing,IN,F,N,L,Active,Other Non-bank Financial Institutions!$!43!$!FL
P166158,East Asia and Pacific,Socialist Republic of Vietnam;Socialist Republic of Vietnam,RE,Investment Project Financing,IN,C,N,L,Active,!$!0
P158717,East Asia and Pacific,People's Republic of China;People's Republic of China,PE,Investment Project Financing,IN,A,N,L,Active,Ports/Waterways!$!59!$!TP
P161707,Africa,Democratic Republic of Sao Tome and Prin;Democratic Republic of Sao Tome and Prin,PE,Development Policy Lending,AD,0,Y,L,Closed,!$!0
P162129,Africa,Democratic Republic of Sao Tome and Prin;Democratic Republic of Sao Tome and Prin,PE,Investment Project Financing,IN,C,N,L,Active,!$!0
P162297,Middle East and North Africa,Republic of Tunisia;Republic of Tunisia,PE,Investment Project Financing,IN,B,N,L,Active,Primary Education!$!49!$!EP
P163345,Latin America and Caribbean,Argentine Republic;Argentine Republic,PE,Investment Project Financing,IN,B,N,L,Active,Health!$!64!$!HG
P163568,Africa,Republic of The Gambia;Republic of The Gambia,PE,Investment Project Financing,IN,B,N,L,Active,Public Administration - Energy and Extractives!$!35!$!LP
P163730,East Asia and Pacific,Lao People's Democratic Republic;Lao People's Democratic Republic,PE,Investment Project Financing,IN,A,N,L,Active,Rural and Inter-Urban Roads!$!91!$!TI
P163901,Africa,Republic of Guinea-Bissau;Republic of Guinea-Bissau,PE,Investment Project Financing,IN,B,N,L,Active,Social Protection!$!93!$!SA
P159756,Africa,Republic of Madagascar;Republic of Madagascar,PE,Investment Project Financing,IN,A,N,L,Active,!$!0
P162089,Africa,Republic of Liberia;Republic of Liberia,RE,Investment Project Financing,IN,C,N,L,Active,!$!0
P162849,South Asia,Republic of India;Republic of India,PE,Program-for-Results,PR,0,N,L,Active,!$!0
P165488,South Asia,Republic of India;Republic of India,GU,Investment Project Financing,IN,0,N,L,Active,!$!0
P163515,Africa,Republic of Uganda;Republic of Uganda,PE,Program-for-Results,PR,0,Y,L,Active,Sub-National Government!$!100!$!BH
P164186,Africa,Republic of Benin;Republic of Benin,PE,Program-for-Results,PR,0,N,L,Active,Water Supply!$!100!$!WC
P159976,East Asia and Pacific,Socialist Republic of Vietnam;Socialist Republic of Vietnam,GE,Investment Project Financing,IN,A,Y,L,Active,!$!0
P158231,Africa,Republic of Mozambique;Republic of Mozambique,PE,Investment Project Financing,IN,B,N,L,Active,Rural and Inter-Urban Roads!$!95!$!TI
P161163,Africa,Western Africa;Western Africa,PE,Investment Project Financing,IN,B,N,L,Active,!$!0
P161368,Africa,Africa;Africa,PE,Investment Project Financing,IN,C,N,L,Active,Public Administration - Financial Sector!$!9!$!FP
P162079,Europe and Central Asia,Republic of Albania;Republic of Albania,PE,Investment Project Financing,IN,B,Y,L,Active,Social Protection!$!93!$!SA
P163172,South Asia,Kingdom of Bhutan;Kingdom of Bhutan,RE,Investment Project Financing,IN,C,N,L,Active,Mining!$!81!$!LM
P156869,South Asia,Republic of India;Republic of India,PE,Investment Project Financing,IN,C,N,L,Active,!$!0
P160926,Africa,Republic of Cameroon;Republic of Cameroon,PE,Investment Project Financing,IN,B,N,L,Active,!$!0
P164803,Africa,Republic of Cameroon;Republic of Cameroon,PE,Investment Project Financing,IN,0,Y,L,Active,Sub-National Government!$!7!$!BH
P164830,Africa,Republic of Cameroon;Republic of Cameroon,PE,Investment Project Financing,IN,0,Y,L,Active,Social Protection!$!46!$!SA
P164954,Africa,Republic of Cameroon;Republic of Cameroon,PE,Investment Project Financing,IN,0,Y,L,Active,Public Administration - Social Protection!$!33!$!SG
P162956,Africa,Republic of Chad;Republic of Chad,PE,Investment Project Financing,IN,B,N,L,Active,Agricultural Extension; Research; and Other Support Activities!$!60!$!AB
P161473,East Asia and Pacific,Lao People's Democratic Republic;Lao People's Democratic Republic,PE,Investment Project Financing,IN,B,N,L,Active,Agricultural Extension; Research; and Other Support Activities!$!35!$!AB
P162422,Africa,Republic of Kenya;Republic of Kenya,GU,0,0,C,N,L,Active,!$!0
P162971,East Asia and Pacific,Kingdom of Cambodia;Kingdom of Cambodia,PE,Investment Project Financing,IN,B,N,L,Active,Tertiary Education!$!75!$!ET
P163714,South Asia,Democratic Socialist Republic of Sri Lan;Democratic Socialist Republic of Sri Lan,PE,Investment Project Financing,IN,B,N,L,Active,Secondary Education!$!45!$!ES
P166745,South Asia,Republic of India;Republic of India,PE,Investment Project Financing,IN,0,Y,L,Active,!$!0
P159544,Europe and Central Asia,Republic of Uzbekistan;Republic of Uzbekistan,PE,Investment Project Financing,IN,B,N,L,Active,Health!$!57!$!HG
P161836,Africa,Western Africa;Western Africa,PE,Investment Project Financing,IN,B,Y,L,Active,!$!0
P162904,Middle East and North Africa,Republic of Djibouti;Republic of Djibouti,PE,Investment Project Financing,IN,B,N,L,Active,Central Government (Central Agencies)!$!43!$!BC
P163140,Africa,Republic of Guinea;Republic of Guinea,PE,Investment Project Financing,IN,B,N,L,Active,Social Protection!$!9!$!SA
P163239,Europe and Central Asia,Republic of Albania;Republic of Albania,PE,Investment Project Financing,IN,B,N,L,Active,!$!0
P164635,Other,World;World,RE,Investment Project Financing,IN,B,N,L,Active,Sub-National Government!$!100!$!BH
P157809,Middle East and North Africa,Arab Republic of Egypt;Arab Republic of Egypt,PE,Investment Project Financing,IN,C,N,L,Active,Primary Education!$!6!$!EP
P163777,Middle East and North Africa,Republic of Yemen;Republic of Yemen,PE,Investment Project Financing,IN,B,N,L,Active,Renewable Energy Solar!$!84!$!LU
P166328,Latin America and Caribbean,Commonwealth of Dominica;Commonwealth of Dominica,PE,Investment Project Financing,IN,B,N,L,Active,Crops!$!8!$!AH
P166537,Latin America and Caribbean,Commonwealth of Dominica;Commonwealth of Dominica,PE,Investment Project Financing,IN,B,N,L,Active,Housing Construction!$!93!$!YH
P161915,Europe and Central Asia,Republic of Turkey;Republic of Turkey,PE,Investment Project Financing,IN,F,N,L,Active,Sub-National Government!$!34!$!BH
P164442,Africa,Central African Republic;Central African Republic,PE,Development Policy Lending,AD,0,N,L,Active,Central Government (Central Agencies)!$!60!$!BC
P166720,Africa,Republic of Rwanda;Republic of Rwanda,RE,Investment Project Financing,IN,0,Y,L,Active,Social Protection!$!73!$!SA
P160613,Africa,Republic of Burundi;Republic of Burundi,PE,Investment Project Financing,IN,B,N,L,Active,Livestock!$!6!$!AL
P158810,Africa,Republic of Cote d'Ivoire;Republic of Cote d'Ivoire,PE,Investment Project Financing,IN,A,N,L,Active,Public Administration - Industry; Trade and Services!$!9!$!YF
P160504,East Asia and Pacific,Republic of Palau;Republic of Palau,RE,Investment Project Financing,IN,C,N,L,Active,Other Information and Communications Technologies!$!86!$!CZ
P163467,Africa,Republic of Niger;Republic of Niger,PE,Investment Project Financing,IN,0,Y,L,Active,Workforce Development and Vocational Education!$!85!$!EW
P163592,Europe and Central Asia,Kyrgyz Republic;Kyrgyz Republic,PE,Investment Project Financing,IN,B,N,L,Active,Energy Transmission and Distribution!$!30!$!LT
P165400,South Asia,People's Republic of Bangladesh;People's Republic of Bangladesh,PE,Investment Project Financing,IN,0,Y,L,Active,Renewable Energy Biomass!$!36!$!LB
P162337,Africa,Western Africa;Western Africa,PE,Investment Project Financing,IN,A,N,L,Active,!$!0
P163945,Africa,Western Africa;Western Africa,GE,Investment Project Financing,IN,0,Y,L,Active,!$!0
P164445,Africa,Republic of Malawi;Republic of Malawi,RE,Investment Project Financing,IN,B,N,L,Active,Crops!$!8!$!AH
P163609,Middle East and North Africa,Republic of Djibouti;Republic of Djibouti,RE,Investment Project Financing,IN,C,N,L,Active,Central Government (Central Agencies)!$!100!$!BC
P162032,Europe and Central Asia,Republic of Serbia;Republic of Serbia,RE,Investment Project Financing,IN,C,N,L,Active,Central Government (Central Agencies)!$!94!$!BC
P162345,Africa,Republic of Congo;Republic of Congo,PE,Investment Project Financing,IN,0,Y,L,Active,Central Government (Central Agencies)!$!82!$!BC
P165114,Middle East and North Africa,Republic of Iraq;Republic of Iraq,PE,Investment Project Financing,IN,B,N,L,Active,Social Protection!$!93!$!SA
P164019,East Asia and Pacific,Republic of the Philippines;Republic of the Philippines,RE,Investment Project Financing,IN,B,N,L,Active,Public Administration - Social Protection!$!50!$!SG
P164029,Europe and Central Asia,Republic of Albania;Republic of Albania,RE,Investment Project Financing,IN,C,N,L,Active,Central Government (Central Agencies)!$!100!$!BC
P161320,East Asia and Pacific,Solomon Islands;Solomon Islands,PE,Investment Project Financing,IN,B,N,L,Active,Social Protection!$!9!$!SA
P165276,East Asia and Pacific,Republic of Fiji;Republic of Fiji,PE,Development Policy Lending,AD,0,N,L,Active,Other Industry; Trade and Services!$!50!$!YZ
P159835,Latin America and Caribbean,United Mexican States;United Mexican States,GE,Investment Project Financing,IN,B,N,L,Active,Agricultural Extension; Research; and Other Support Activities!$!51!$!AB
P160778,Latin America and Caribbean,United Mexican States;United Mexican States,GE,Investment Project Financing,IN,B,N,L,Active,!$!0
P164290,South Asia,Kingdom of Bhutan;Kingdom of Bhutan,PE,Development Policy Lending,AD,0,N,L,Active,Central Government (Central Agencies)!$!34!$!BC
P165493,South Asia,Republic of India;Republic of India,PE,Investment Project Financing,IN,0,Y,L,Active,Health!$!69!$!HG
P165585,Latin America and Caribbean,United Mexican States;United Mexican States,PE,Investment Project Financing,IN,0,Y,L,Active,Public Administration - Energy and Extractives!$!7!$!LP
P157987,South Asia,People's Republic of Bangladesh;People's Republic of Bangladesh,PE,Investment Project Financing,IN,C,N,L,Active,Central Government (Central Agencies)!$!83!$!BC
P159974,South Asia,People's Republic of Bangladesh;People's Republic of Bangladesh,PE,Investment Project Financing,IN,B,N,L,Active,Renewable Energy Solar!$!9!$!LU
P160442,Africa,Republic of Madagascar;Republic of Madagascar,PE,Investment Project Financing,IN,B,N,L,Active,Early Childhood Education!$!53!$!EC
P160948,Africa,Republic of Angola;Republic of Angola,PE,Investment Project Financing,IN,B,N,L,Active,Health!$!59!$!HG
P161234,Africa,Burkina Faso;Burkina Faso,PE,Investment Project Financing,IN,A,Y,L,Active,Rural and Inter-Urban Roads!$!24!$!TI
P162095,South Asia,Islamic Republic of Pakistan;Islamic Republic of Pakistan,PE,Investment Project Financing,IN,F,N,L,Active,Housing Construction!$!97!$!YH
P163250,South Asia,People's Republic of Bangladesh;People's Republic of Bangladesh,PE,Investment Project Financing,IN,B,N,L,Active,Manufacturing!$!45!$!YM
P166025,Europe and Central Asia,Republic of Serbia;Republic of Serbia,PE,Investment Project Financing,IN,0,Y,L,Active,Public Administration - Health!$!6!$!HF
P166177,Latin America and Caribbean,Republic of Colombia;Republic of Colombia,PE,Investment Project Financing,IN,0,Y,L,Active,Tertiary Education!$!100!$!ET
P156894,South Asia,Islamic  Republic of Afghanistan;Islamic  Republic of Afghanistan,PE,Investment Project Financing,IN,B,N,L,Active,ICT Infrastructure!$!41!$!CI
P157206,Africa,Republic of Cote d'Ivoire;Republic of Cote d'Ivoire,PE,Investment Project Financing,IN,A,N,L,Active,Other Agriculture; Fishing and Forestry!$!64!$!AZ
P160615,South Asia,Islamic  Republic of Afghanistan;Islamic  Republic of Afghanistan,PE,Investment Project Financing,IN,B,N,L,Active,Health!$!96!$!HG
P161348,South Asia,Islamic  Republic of Afghanistan;Islamic  Republic of Afghanistan,PE,Investment Project Financing,IN,C,N,L,Active,!$!0
P162890,Africa,Republic of The Gambia;Republic of The Gambia,PE,Investment Project Financing,IN,B,N,L,Active,Primary Education!$!60!$!EP
P165684,South Asia,Islamic Republic of Pakistan;Islamic Republic of Pakistan,RE,Investment Project Financing,IN,C,N,L,Active,ICT Services!$!40!$!CS
P156837,Europe and Central Asia,Republic of Serbia;Republic of Serbia,PE,Investment Project Financing,IN,C,N,L,Active,Public Administration - Financial Sector!$!50!$!FP
P158364,South Asia,Nepal;Nepal,PE,Investment Project Financing,IN,B,N,L,Active,Agricultural markets; commercialization and agri-business!$!8!$!YA
P160230,Europe and Central Asia,Kyrgyz Republic;Kyrgyz Republic,PE,Investment Project Financing,IN,B,N,L,Active,!$!0
P160792,South Asia,Nepal;Nepal,PE,Development Policy Lending,AD,0,N,L,Active,Central Government (Central Agencies)!$!56!$!BC
P161184,Europe and Central Asia,Republic of Serbia;Republic of Serbia,PE,Development Policy Lending,AD,0,N,L,Active,Central Government (Central Agencies)!$!34!$!BC
P164660,Latin America and Caribbean,Republic of Peru;Republic of Peru,RE,Investment Project Financing,IN,C,N,L,Active,Central Government (Central Agencies)!$!100!$!BC
P151909,Africa,Republic of Mali;Republic of Mali,PE,Investment Project Financing,IN,A,N,L,Active,Other Water Supply; Sanitation and Waste Management!$!43!$!WZ
P160771,Africa,Republic of Guinea;Republic of Guinea,PE,Investment Project Financing,IN,B,Y,L,Active,Energy Transmission and Distribution!$!52!$!LT
P163563,Africa,Islamic Republic of Mauritania;Islamic Republic of Mauritania,PE,Investment Project Financing,IN,B,N,L,Active,Oil and Gas!$!80!$!LC
P157575,Latin America and Caribbean,Republic of Panama;Republic of Panama,PE,Investment Project Financing,IN,B,N,L,Active,!$!0
P160224,Middle East and North Africa,Lebanese Republic;Lebanese Republic,PE,Investment Project Financing,IN,A,N,L,Active,Urban Transport!$!97!$!TC
P163531,Latin America and Caribbean,Republic of Nicaragua;Republic of Nicaragua,PE,Investment Project Financing,IN,B,N,L,Active,Sub-National Government!$!100!$!BH
P164452,Latin America and Caribbean,Republic of Nicaragua;Republic of Nicaragua,PE,Investment Project Financing,IN,B,N,L,Active,Public Administration - Health!$!77!$!HF
P165085,Latin America and Caribbean,Argentine Republic;Argentine Republic,GU,Investment Project Financing,IN,0,N,L,Active,Renewable Energy Wind!$!40!$!LW
P165467,Latin America and Caribbean,Republic of Nicaragua;Republic of Nicaragua,PE,Investment Project Financing,IN,0,Y,L,Active,Rural and Inter-Urban Roads!$!100!$!TI
P157054,South Asia,Republic of India;Republic of India,PE,Investment Project Financing,IN,B,N,L,Active,Rural and Inter-Urban Roads!$!99!$!TI
